lr,beta,train,test,pos,rot,kl
1.981719686347518e-06,0.25,0.69268215,0.70800453,2.9059777,0.12259306,1.1179651
1.2456723106801909e-06,0.0,0.4093007,0.41854143,2.8731856,0.12198223,1.1342868
0.000125,0.01,0.39203402,0.3986551,2.5683198,0.115587756,1.9614276
0.00012487765716255283,0.02,0.40388083,0.41524193,2.5090306,0.114191875,1.9392937
0.00012451111148149765,0.03,0.4187387,0.43056205,2.5372334,0.114510275,1.6835042
0.00012390180954517871,0.04,0.4317418,0.44558027,2.5463297,0.11454714,1.5640411
0.00012305215598997513,0.05,0.44681877,0.4609581,2.5749097,0.114857756,1.4894016
0.00012196550401029952,0.06,0.46086827,0.47386822,2.5925097,0.115068465,1.44248
0.00012064614212507158,0.07,0.47380394,0.48674285,2.601993,0.11510448,1.4071451
0.00011909927725289322,0.08,0.48765287,0.50075513,2.6201751,0.11534898,1.3785802
0.00011733101416271953,0.09,0.50036436,0.5145543,2.6308367,0.11539457,1.3542895
0.00011534833138112494,0.1,0.513765,0.5280637,2.6527226,0.115756325,1.3273647
0.00011315905365124674,0.11,0.52647185,0.5392716,2.667487,0.11594448,1.3070788
0.00011077182105209894,0.12,0.5386807,0.5516098,2.6834304,0.116084784,1.2854414
0.00010819605490012751,0.13,0.5509625,0.56318754,2.695049,0.1163457,1.2700922
0.0001054419205675787,0.14,0.5633562,0.57504195,2.7110293,0.11655826,1.254965
0.00010252028736441876,0.15,0.57540864,0.58662415,2.7232769,0.11672672,1.2423615
9.944268564213335e-05,0.16,0.5869228,0.6031065,2.7405226,0.117022544,1.2240503
9.622126128869779e-05,0.17,0.59778786,0.6151754,2.7483163,0.1170751,1.2110655
9.286872779430634e-05,0.18,0.6099192,0.6217136,2.7678647,0.11746932,1.1981294
8.93983160770345e-05,0.19,0.62155616,0.63547975,2.7827606,0.1176474,1.1875404
8.582372226645004e-05,0.2,0.6326767,0.64686173,2.7991283,0.11799542,1.1738427
8.215905365124675e-05,0.21,0.64352816,0.6580301,2.8125286,0.11815934,1.1624572
7.841877300422098e-05,0.22,0.65471727,0.67048806,2.823703,0.118432604,1.1541563
7.461764150431494e-05,0.23,0.6666252,0.67939115,2.8441494,0.1187502,1.1454784
7.077066048098688e-05,0.24,0.676064,0.6904333,2.846112,0.11898844,1.1352682
6.689301221081744e-05,0.25,0.68734425,0.6984337,2.8661163,0.1191105,1.1264883
6.3e-05,0.25,0.6868325,0.7020052,2.8671222,0.11917835,1.1237676
5.910698778918257e-05,0.25,0.6862559,0.6993599,2.8641312,0.11919571,1.1225883
5.522933951901314e-05,0.25,0.6848761,0.7000754,2.8545034,0.11897904,1.1217868
5.138235849568507e-05,0.25,0.6849448,0.7021391,2.8592403,0.118944176,1.1203061
4.7581226995778996e-05,0.25,0.6842401,0.70122737,2.848194,0.11885486,1.1222631
4.3840946348753275e-05,0.25,0.68391895,0.69791716,2.8471425,0.11881591,1.121555
4.017627773354998e-05,0.25,0.6831965,0.69694155,2.8409474,0.118702605,1.1215966
3.660168392296549e-05,0.25,0.6823922,0.6972592,2.8369575,0.11856127,1.1205407
3.313127220569364e-05,0.25,0.6829983,0.69554704,2.8383925,0.11865177,1.1220291
2.9778738711302196e-05,0.25,0.6815127,0.69709545,2.830969,0.1183557,1.1202403
2.6557314357866676e-05,0.25,0.6810759,0.693002,2.8266873,0.1184396,1.1198698
2.3479712635581236e-05,0.25,0.681036,0.6948772,2.8233821,0.11838238,1.1212616
2.0558079432421302e-05,0.25,0.6802951,0.6960333,2.820993,0.118182786,1.1200521
1.78039450998725e-05,0.25,0.68068963,0.69469357,2.8187923,0.11820356,1.1224277
1.5228178947901074e-05,0.25,0.6796501,0.6933256,2.8123837,0.11807367,1.1213524
1.2840946348753267e-05,0.25,0.67923707,0.69584507,2.8111389,0.11802126,1.1204076
1.065166861887508e-05,0.25,0.6790132,0.69279736,2.8072262,0.11805325,1.1209495
8.668985837280459e-06,0.25,0.6791324,0.69331294,2.8097112,0.11809134,1.1202797
6.9007227471068e-06,0.25,0.6787255,0.6948113,2.80332,0.11790895,1.1219382
5.353857874928417e-06,0.25,0.67883307,0.69262856,2.8062027,0.11794451,1.1210735
4.034495989700481e-06,0.25,0.67851686,0.69299626,2.8029902,0.11787147,1.1213853
2.94784401002488e-06,0.25,0.6782616,0.69303435,2.799831,0.117873326,1.1216209
2.0981904548212992e-06,0.25,0.67820925,0.69424534,2.798661,0.11790769,1.1217419
1.4888885185023785e-06,0.25,0.67797315,0.6937681,2.7982328,0.11785031,1.1211985
